Supplier_ID,Supplier_Name,Region,Country,Lead_Time_Days,Reliability_Score
SUP_001,Supplier_1,South,Germany,37,0.79
SUP_002,Supplier_2,North,Brazil,27,0.86
SUP_003,Supplier_3,East,USA,31,0.85
SUP_004,Supplier_4,West,USA,20,0.88
SUP_005,Supplier_5,North,Germany,20,0.77
SUP_006,Supplier_6,North,Germany,4,0.87
SUP_007,Supplier_7,South,Germany,37,0.98
SUP_008,Supplier_8,South,India,18,0.84
SUP_009,Supplier_9,East,Vietnam,43,0.96
SUP_010,Supplier_10,West,USA,38,0.83
SUP_011,Supplier_11,South,India,35,0.8
SUP_012,Supplier_12,North,Germany,6,0.89
SUP_013,Supplier_13,West,USA,35,0.89
SUP_014,Supplier_14,West,India,16,0.95
SUP_015,Supplier_15,North,Vietnam,23,0.77
SUP_016,Supplier_16,South,India,22,0.84
SUP_017,Supplier_17,North,Vietnam,10,0.87
SUP_018,Supplier_18,West,Germany,9,0.92
SUP_019,Supplier_19,Central,Vietnam,5,0.71
SUP_020,Supplier_20,Central,USA,19,0.99
